Last_Watched,Frequent_Watch,Reason_of_Watch,Frequent_Go_Cinema,Factors,  underrated geners, Action_Rate,Adventure_Rate,Comedy_Rate,Drama_Rate, Romance_Rate,Horror_Rate,Sci-fi_Rate,Musical_Rate,Family_Rate,Search_Before_Watch,Ads_effect,Usually_Disappoint,Cast,Genre,Director,Studio ,Reviews,Quality_ Story,Watching_Place,Why watching  home instead of cinema?, setup watching home, usuall way to watch movies at home, favorite Streaming Platform, Age, Major, Gender.,Critical Reviews,Friends' Opinions ,Internet Sites,TV Entertainment Programs
Less than a week,Three or four times,Internet Sites,I don't go to the Cinema,Acting,Musical,1,5,1,3,4,1,4,1,1,Usually ,Internet Sites,Sometimes,1,3,1,1,5,5,Home,To be away from any noise,I don't have setup,Downloaded from the Internet,Cimaclub,20,Data Science,Female,0,0,0,0
This month,Three or four times,Recommended ,I don't go to the Cinema,Quality of Story,Black box,1,3,5,5,1,3,4,1,2,Sometimes,Trailers,Sometimes,5,5,3,1,4,5,Home,It's far from home .,I lie in bed with my tablet and sometimes I lie on the sofa and watch TV,Downloaded from the Internet,Different sites on internet ,19,Data Science,Female,0,0,0,0
Less than a week,More than four times,Recommended ,Once or Twice a year,Quality of Story,"Yes , all old movies ",1,3,4,5,2,1,5,2,4,Usually ,Internet Sites,Sometimes,4,4,5,4,3,5,Home,"Sometimes, I don’t have enough money or I would whatching with my friends and sharing some comments and set comfortably ",the most important thing is snakes ,Downloaded from the Internet,Egybest,19,Data Science,Female,0,0,0,0
This month,Once or twice,Social Media,Once or Twice a year,Quality of Story,Family,3,3,5,5,5,3,2,2,5,Sometimes,Internet Sites,Sometimes,5,5,1,1,5,5,Home,..,Snacks,Downloaded from the Internet,Egybest,20,Data Science,Female,0,0,0,0
Less than a week,More than four times,Trailers,I don't go to the Cinema,Quality of Story,. ,5,5,4,3,4,1,3,1,4,Usually ,Viral Videos,Usually,3,5,3,1,3,5,Home,. ,. ,Downloaded from the Internet,,19,Space Technology,Female,0,0,0,0
Last Month,Three or four times,Recommended ,I don't go to the Cinema,Genre,Action ,1,5,1,5,3,1,3,4,3,Usually ,Viral Videos,Sometimes,2,1,1,2,5,5,Home,I like to be alone,Just popcorn,Downloaded from the Internet,It was egy best,19,Space Technology,Female,0,0,0,0
Less than a week,Once or twice,Social Media,Once or Twice a year,Quality of Story,??,1,4,4,1,3,5,5,1,3,Sometimes,Trailers,Sometimes,4,5,1,2,2,5,Home,?????? ?? ????? ????,?? ???????? ?? ?????? ???? ?? ??? ????????,On TV,?? ???? ????? ,19,Space Technology,Female,0,0,0,0
I don't watch movies often,Less than once,Recommended ,I don't go to the Cinema,Quality of Story,nope,4,4,3,3,3,3,5,1,1,Never,Viral Videos,Sometimes,1,1,1,1,4,5,Home,less money and night movies are the best,nope,Downloaded from the Internet,,19,Space Technology,Male,0,0,0,0
Less than a week,Once or twice,Social Media,More than once a month,Quality of Story,No,3,3,3,2,1,1,1,3,3,Sometimes,Internet Sites,Sometimes,5,5,5,5,5,5,Home,Because of time and cost,??????,On TV,????,19,Space Technology,Female,0,0,1,0
Less than a week,Three or four times,Recommended ,Once or Twice a year,Quality of Story,Horror,4,2,2,2,1,1,2,1,4,Usually ,Trailers,Usually,1,4,1,3,2,4,Home,"Quiet , not crowded",Set up the tv screen or laptop,Downloaded from the Internet,,19,Data Science,Female,0,0,0,0
I don't watch movies often,Less than once,Social Media,I don't go to the Cinema,Quality of Story,Un,4,3,2,5,5,5,5,5,5,Usually ,Internet Sites,Usually,2,3,3,4,2,4,Home,I don't have energy ,. ,Downloaded from the Internet,.,20,Intelligent Systems,Female,0,1,0,0
